,amount,transaction_hour,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,merchant_category_Clothing,merchant_category_Electronics,merchant_category_Food,merchant_category_Grocery,merchant_category_Travel,is_fraud
0,84.47,22,0,0,66,3,40,0.0,1.0,0.0,0.0,0.0,0
1,541.82,3,1,0,87,1,64,0.0,0.0,0.0,0.0,1.0,0
2,237.01,17,0,0,49,1,61,0.0,0.0,0.0,1.0,0.0,0
3,164.33,4,0,1,72,3,34,0.0,0.0,0.0,1.0,0.0,0
4,30.53,15,0,0,79,0,44,0.0,0.0,1.0,0.0,0.0,0
5,30.53,13,0,0,90,2,46,1.0,0.0,0.0,0.0,0.0,0
6,10.77,18,0,0,48,1,28,0.0,0.0,0.0,0.0,1.0,0
7,362.02,13,0,0,68,1,40,0.0,1.0,0.0,0.0,0.0,0
8,165.43,8,0,0,80,0,21,0.0,0.0,0.0,1.0,0.0,0
9,221.63,5,0,0,59,1,34,0.0,0.0,0.0,1.0,0.0,0
10,3.74,16,0,0,58,2,28,0.0,0.0,0.0,1.0,0.0,0
11,630.64,18,0,0,30,4,25,1.0,0.0,0.0,0.0,0.0,0
12,321.56,11,0,0,73,4,68,1.0,0.0,0.0,0.0,0.0,0
13,42.96,3,0,0,40,2,43,0.0,0.0,0.0,0.0,1.0,0
14,36.12,15,0,0,37,2,69,0.0,1.0,0.0,0.0,0.0,0
15,36.47,10,0,0,36,2,66,1.0,0.0,0.0,0.0,0.0,0
16,65.3,21,0,0,35,1,25,0.0,0.0,1.0,0.0,0.0,0
17,133.91,3,0,0,71,2,25,1.0,0.0,0.0,0.0,0.0,0
18,101.8,16,1,0,84,3,24,0.0,0.0,0.0,1.0,0.0,0
19,61.96,7,0,0,73,2,68,0.0,1.0,0.0,0.0,0.0,0
20,170.35,13,0,0,76,4,51,0.0,0.0,0.0,0.0,1.0,0
21,27.04,1,0,0,85,1,49,1.0,0.0,0.0,0.0,0.0,0
22,62.19,10,0,0,64,2,30,0.0,0.0,0.0,1.0,0.0,0
23,82.13,10,0,0,95,2,53,0.0,0.0,1.0,0.0,0.0,0
24,109.61,23,0,0,99,2,35,0.0,0.0,1.0,0.0,0.0,0
25,276.83,21,1,0,77,3,30,0.0,0.0,0.0,0.0,1.0,0
26,40.09,23,0,0,85,1,47,0.0,0.0,0.0,0.0,1.0,0
27,129.97,5,0,0,46,1,18,1.0,0.0,0.0,0.0,0.0,0
28,161.55,20,0,0,62,3,52,0.0,0.0,0.0,0.0,1.0,0
29,8.56,20,0,0,85,1,20,0.0,0.0,0.0,1.0,0.0,0
30,168.36,13,0,0,71,2,47,0.0,0.0,0.0,1.0,0.0,0
31,33.65,9,0,0,51,2,65,0.0,0.0,0.0,1.0,0.0,0
32,12.11,7,0,0,42,3,42,1.0,0.0,0.0,0.0,0.0,0
33,535.26,6,0,0,44,7,50,1.0,0.0,0.0,0.0,0.0,0
34,606.71,7,0,0,66,5,33,0.0,0.0,0.0,0.0,1.0,0
35,297.42,7,0,0,65,2,66,1.0,0.0,0.0,0.0,0.0,0
36,65.39,22,0,0,96,1,20,0.0,0.0,0.0,1.0,0.0,0
37,18.5,1,0,0,82,2,64,0.0,1.0,0.0,0.0,0.0,0
38,207.5,15,0,0,64,1,46,0.0,0.0,0.0,1.0,0.0,0
39,104.42,8,0,0,99,1,31,0.0,1.0,0.0,0.0,0.0,0
40,23.43,12,0,0,54,1,60,0.0,0.0,0.0,0.0,1.0,0
41,123.04,22,0,1,36,3,62,0.0,0.0,1.0,0.0,0.0,0
